Diseases,Ayurvedic Formulations,Therapy,Precautions,Details
Dimorphic hemmorhoids(piles)(Arsha),Haritaki (Terminalia chebula): Haritaki is a mild laxative herb that helps promote bowel movements and alleviate constipation. Take Haritaki powder with warm water before bedtime,"Ayurvedic therapy for Dimorphic Hemorrhoids (Piles or Arsha) includes dietary changes, herbal remedies like Triphala and Arshoghna, lifestyle modifications, and practices such as Sitz baths and Kshara sutra therapy for severe cases.
","1. Follow a Vata-pacifying diet
2. Include fiber-rich foods in your diet to soften stools and promote regular bowel movements
3. Avoid straining during bowel movements","Dimorphic hemorrhoids, also known as piles, are swollen blood vessels in the rectal and anal area, presenting with symptoms such as pain, bleeding, and discomfort during bowel movements."
Psoriasis(Sidhma Kushtam),"Panchakarma herbs: Various Ayurvedic herbs and formulations may be used in different stages of Panchakarma, the comprehensive detoxification therapy in Ayurveda. These herbs include castor oil (Eranda taila), Trivrit (Operculina turpethum), and ginger (Zingiber officinale), among others.",Shodhana Chikitsa (detox) is one such therapy that aims to purify the blood and balance doshas,"1.Keep skin moisturized and avoid triggers such as stress, alcohol, and smoking.
2.Use prescribed topical treatments or medications as directed by healthcare professionals.
3.Seek medical advice for proper management and consider phototherapy or systemic treatments for severe cases.","Psoriasis is a chronic autoimmune skin disorder characterized by the rapid buildup of skin cells, resulting in red, scaly patches, itching, and inflammation."
Osteoarthristis(Sandhivata),"Shallaki (Boswellia serrata): This comprehensive herb minimizes joint damage, improves rheumatism, and reduces arthritis pain","
Ayurvedic therapy for Osteoarthritis (Sandhivata) involves herbal remedies like Shallaki, Guggulu, and Dashamoola along with therapies like Abhyanga (oil massage), Swedana (steam therapy), and specific dietary modifications.","1.Engage in regular low-impact exercises to strengthen muscles and maintain joint flexibility.
2.Maintain a healthy weight to reduce stress on weight-bearing joints.
3.Consider joint protection techniques and assistive devices for daily activities to minimize joint strain.","Osteoarthritis is a degenerative joint disease marked by the breakdown of cartilage, causing pain, stiffness, and reduced mobility, commonly associated with aging and wear and tear."
Cervical spondylosis(Griva Sandhigata Vata),Mridu Shodhana (Mild Purgation): Consider using castor oil mixed with milk or fruit pulp of Cassia fistula (Aragwadha phala majja) for gentle cleansing,"
Ayurvedic therapy for Cervical Spondylosis (Griva Sandhigata Vata) involves herbal oils, massage, heat therapy, gentle stretching exercises, dietary modifications, and lifestyle adjustments to alleviate pain and improve mobility.","1.Maintain good neck posture, especially during prolonged periods of sitting or working.
2.Engage in neck exercises and stretches to improve flexibility and reduce stiffness.
3.Use ergonomic furniture and accessories to support proper neck alignment while working or sleeping.","Cervical spondylosis is a degenerative condition affecting the neck vertebrae, leading to pain, stiffness, and sometimes numbness or weakness in the neck and upper limbs."
Hepatitis E,"Virechana: This therapy eliminates excess Pitta Dosha from the body, supporting liver detoxification","Ayurvedic therapy for Hepatitis E includes herbal remedies for liver support, dietary adjustments focusing on easily digestible foods, hydration, rest, and lifestyle modifications for complete recovery and immune system strengthening.","1.Ensure access to clean and safe drinking water to prevent waterborne transmission.
2.Practice good hygiene, including handwashing, to reduce the risk of fecal-oral transmission.
3.Avoid consuming undercooked or raw shellfish and practice proper food handling and preparation.","Hepatitis E is a viral liver infection, typically transmitted through contaminated water or food, causing symptoms similar to other forms of hepatitis, including jaundice and abdominal pain."
Hyperthyroidism(Grahi),Kachanar Guggulu: This herbal formulation supports thyroid health,"Ayurvedic therapy for Hyperthyroidism (Grahi) includes herbal formulations, dietary modifications emphasizing cooling foods, stress reduction techniques, yoga, and lifestyle adjustments to balance thyroid function and promote overall well-being.","1.Follow medical advice for prescribed antithyroid medications or other treatments.
2.Monitor thyroid function regularly through blood tests to adjust medication as needed.
3.Manage stress and adopt a balanced diet to support overall health and thyroid function.","Hyperthyroidism is a thyroid disorder characterized by excessive production of thyroid hormones, leading to symptoms such as weight loss, rapid heartbeat, and nervousness."
Varicose veins(Sira granthi),Trivrit (Operculina turpethum): This herb is a potent purgative and is commonly used in ,"Virechana: This therapy eliminates excess Pitta Dosha from the body, supporting liver detoxification","1.Stay physically active to promote good circulation and leg strength.
2.Elevate legs when resting and avoid prolonged periods of sitting or standing.
3.Wear compression stockings as recommended by a healthcare professional to alleviate symptoms and prevent worsening of varicose veins.","Varicose veins are swollen, twisted veins that usually occur in the legs, caused by weakened valves in the veins, leading to discomfort, pain, and visible, enlarged veins."
Paralysis (brain hemorrhage)(Mastishka Srava),"Mandukaparni (Centella asiatica): Mandukaparni, also known as Gotu Kola, is another herb known for its beneficial effects on brain health. It helps improve memory, concentration, and mental clarity. It can be taken orally as a supplement or used topically as an oil for scalp massage.","Ayurvedic therapy for Paralysis due to brain hemorrhage (Mastishka Srava) involves herbal medicines, Panchakarma for detoxification, physiotherapy, dietary adjustments, and lifestyle modifications to promote nerve regeneration and overall recovery.","1.Adopt a healthy lifestyle with regular exercise and a balanced diet to manage risk factors.
2.Control hypertension, a major cause of brain hemorrhage, through medication and lifestyle changes.
3.Seek immediate medical attention if experiencing symptoms like sudden severe headache, weakness, or difficulty speaking.","Paralysis due to brain hemorrhage results from bleeding in the brain, causing damage to surrounding tissues and leading to loss of muscle function or movement in specific body parts."
Drug Reaction(Aushadhi Samvedan),,,"1. Take medications as prescribed by healthcare providers and follow instructions carefully to minimize the risk of adverse drug reactions.
2. Be aware of potential drug interactions and allergic reactions, and inform healthcare providers of any medications, supplements, or substances you are taking.","Drug Reaction is an adverse response to a medication, ranging from mild side effects such as nausea to severe allergic reactions or organ damage."
Dengue(Dandaka Jvara),"Giloy (Tinospora cordifolia): Giloy is a well-known herb in Ayurveda with immunomodulatory properties. It helps boost the immune system and may aid in fighting viral infections like dengue. Giloy can be consumed in the form of capsules, powder, or as a decoction.","
Ayurvedic therapy for Dengue (Dandaka Jvara) includes herbal remedies for symptom relief, immune-boosting herbs, hydration, rest, monitoring, and preventive measures against mosquito bites for holistic management.","1.Eliminate mosquito breeding sites by emptying standing water and using insecticides.
2.Use mosquito repellent and wear long-sleeved clothing, especially during peak mosquito activity times.
3.Seek medical attention promptly if experiencing symptoms like high fever, severe headaches, and joint pain.","Dengue is a mosquito-borne viral infection causing flu-like symptoms, severe joint and muscle pain, and potentially leading to a more severe form known as dengue hemorrhagic fever."
GERD(Amlapitta),Licorice (Glycyrrhiza glabra): Licorice root has demulcent and anti-inflammatory properties that can help soothe the digestive tract and reduce inflammation. Take licorice root supplements or drink licorice tea as directed.,"
Ayurvedic therapy for GERD (Amlapitta) includes dietary changes, herbal remedies like Licorice and Indian Gooseberry, lifestyle adjustments, and stress management techniques to alleviate acid reflux symptoms.","1.Maintain a healthy weight to reduce pressure on the stomach and lower esophageal sphincter.
2.Avoid large meals, acidic, and spicy foods that can trigger reflux symptoms.
3.Elevate the head of the bed when sleeping to minimize acid reflux during the night.","GERD (Gastroesophageal Reflux Disease) is a chronic condition where stomach acid flows back into the esophagus, causing symptoms like heartburn, regurgitation, and chest pain."
Peptic ulcer disease(Parinama Shula),"Amla (Indian Gooseberry): Amla is rich in vitamin C and antioxidants, which can help strengthen the digestive system and promote healing of peptic ulcers. Consume fresh amla juice or take amla supplements as directed.","Ayurvedic therapy for Peptic Ulcer involves using herbs like Licorice and Indian Gooseberry, adopting a bland diet, managing stress, and making lifestyle adjustments for symptom relief and healing. Regular monitoring and follow-up are essential.","1.Avoid the use of nonsteroidal anti-inflammatory drugs (NSAIDs) without medical supervision, as they can contribute to peptic ulcers.
2.Manage stress through relaxation techniques and lifestyle changes.
3.Follow a balanced diet and consider avoiding spicy foods, alcohol, and caffeine, which may aggravate peptic ulcers.","Peptic ulcer disease is a condition characterized by the formation of open sores (ulcers) on the inner lining of the stomach or upper part of the small intestine, often associated with Helicobacter pylori infection or the use of nonsteroidal anti-inflammatory drugs (NSAIDs)."
AIDS(Ojakshaya),Direct Ayurvedic Treatment not available; Consult with physician.,"Ayurvedic therapy for AIDS (Ojakshaya) aims to strengthen the immune system with herbal formulations like Ashwagandha and Amalaki. Dietary adjustments, stress management, and lifestyle modifications are integral parts of the treatment.","1.Use condoms at the time of intercourse.
2. Maintain cleanliness in living spaces and personal belongings to minimize exposure to pathogens
3. Regularly monitor your health and seek medical attention promptly for any signs of illness or infection","AIDS (Acquired Immunodeficiency Syndrome) is a late stage of HIV infection, where the immune system is severely damaged, leading to a range of opportunistic infections and cancers."
Hypoglycemia(Madhumeha),Chandraprabha Vati: It helps regulating low blood sugar and supports pancreatic function.,"
Ayurvedic therapy for Hypoglycemia (Madhumeha) involves dietary adjustments to stabilize blood sugar levels, along with herb Guduchi to support overall health. Lifestyle modifications and stress management techniques are also recommended.","1.Consume regular, balanced meals and snacks to prevent low blood sugar levels.
2.Be aware of early signs of hypoglycemia, such as shakiness or sweating, and treat promptly with glucose-containing foods.
3.Adjust medication dosages under the guidance of healthcare professionals to prevent recurrent hypoglycemic episodes.","Hypoglycemia is a condition characterized by abnormally low blood sugar levels, often causing symptoms such as shakiness, confusion, and dizziness, and can be associated with conditions like diabetes."
Hepatitis C(Yakritodara),Arogyavardhini Vati: Supports liver function and aids in the management of Hepatitis C,"
Ayurvedic therapy for Hepatitis C (Yakritodara) involves herbal remedies to support liver function, dietary adjustments, rest, and lifestyle modifications.","1.Avoid sharing needles or any personal items that may come in contact with blood.
2.Practice safe intercourse to minimize the risk of intercourseual transmission.
3.Seek medical advice for testing, diagnosis, and appropriate management, especially if engaging in high-risk behaviors.","Hepatitis C is a viral infection affecting the liver, usually spread through contact with infected blood, leading to chronic liver inflammation and potential long-term liver damage."
Diabetes(Prameha),Chandraprabha Vati: Helps regulate blood sugar levels and supports pancreatic function.,"Ayurvedic therapy for Diabetes (Prameha) involves lifestyle modifications, herbal remedies like bitter gourd and fenugreek, along with therapies like Panchakarma for detoxification.","1.Maintain a balanced diet with controlled carbohydrate intake to manage blood sugar levels.
2.Engage in regular physical activity to support weight management and improve insulin sensitivity.
3.Monitor blood glucose levels regularly and adhere to prescribed medications or insulin as directed by healthcare professionals.","Diabetes is a chronic metabolic disorder characterized by elevated blood sugar levels, resulting from insufficient insulin production or ineffective use of insulin, leading to various health complications."
Chicken pox(Laghu Masurika),Gandhak Rasayana: Helps to boost immunity and promotes healing of chicken pox blilsters,"Ayurvedic therapy for Chickenpox (Laghu Masurika) involves herbal remedies like Neem and Manjistha for skin lesions, along with cooling herbs like Chandan (Sandalwood) to alleviate itching. Dietary adjustments and proper hygiene are also recommended for a speedy recovery.","1.Avoid scratching the chickenpox blisters to prevent secondary infections and scarring.
2.Keep the affected person isolated, especially from individuals who haven't had chickenpox or aren't vaccinated.
3.Administer antiviral medications as prescribed by a healthcare professional to alleviate symptoms and speed up recovery.","Chickenpox is a highly contagious viral infection, characterized by an itchy skin rash with red spots and fluid-filled blisters, caused by the varicella-zoster virus."
hepatitis A(Kamala),Bhunimba: Supports Liver function and helps in the recovery from Hepatitis A,"Ayurvedic therapy for Hepatitis A (Kamala) focuses on dietary adjustments, including easily digestible foods like rice gruel and herbal formulations to support liver function such as Kutki and Bhumi Amla. Rest and lifestyle modifications are also crucial for recovery.","1.Practice good hygiene, including thorough handwashing, to prevent the spread of Hepatitis A.
2.Get vaccinated for Hepatitis A, especially if traveling to regions with high infection rates.
3.Avoid consuming contaminated food or water and practice safe food handling to reduce the risk of infection.","Hepatitis A is a viral infection affecting the liver, primarily transmitted through contaminated food or water, causing symptoms such as jaundice, fatigue, and abdominal pain."
Migraine(Anantavata),"Godanti Bhasma: A classical ayurvedic preparation containing gypsum, used to relieve pain and reduce the frequency of migraine attacks","Ayurvedic therapy for Migraine (Anantavata) includes herbal remedies like Shankhapushpi and Brahmi, along with therapies such as Shirodhara (pouring of medicated oil on the forehead) and Nasya (nasal administration of medicated oils). Lifestyle modifications and dietary adjustments are also essential for managing triggers and symptoms.","1.Identify and manage migraine triggers such as certain foods, stress, or lack of sleep.
2.Take prescribed medications as soon as symptoms begin to alleviate migraine attacks.
3.Establish a consistent sleep schedule and practice relaxation techniques to reduce stress and prevent migraines.","Migraine is a neurological disorder characterized by recurrent, severe headaches often accompanied by nausea, vomiting, and sensitivity to light and sound."
Hepatitis D(Yakritpleehodara),"Bhumi Amla (Phyllanthus niruri): Known for its hepatoprotective properties, it aids in the management of hepatitis D","Ayurvedic therapy for Hepatitis D (Yakritpleehodara) involves a combination of herbal remedies like Kutki, Bhumi Amla, and Bhumyamalaki to support liver function and aid in detoxification. Dietary adjustments, rest, and lifestyle modifications are also recommended to promote liver health and overall well-being.","1.Get vaccinated against Hepatitis B to prevent co-infection with Hepatitis D.
2.Practice safe intercourse and avoid sharing needles or personal items that may carry infected blood.
3.Consult a healthcare professional for regular monitoring and appropriate management if diagnosed with Hepatitis D.","Hepatitis D is a viral infection that occurs in individuals already infected with Hepatitis B, causing more severe liver damage and complications compared to Hepatitis B alone."
Heart attack(Hridroga),Arjuna (Terminalia arjuna) extract: Supports cardiovascular health and helps prevent heart attacks by strengthening the heart muscles and improving circulation.,"Ayurvedic therapy for Heart Attack (Hridroga) emphasizes lifestyle modifications, including stress reduction, regular exercise, and a heart-healthy diet. Herbal formulations like Arjuna, Punarnava, and Ashwagandha are used to support heart function and reduce the risk of future cardiac events.","1.Adopt a heart-healthy lifestyle with regular exercise and a balanced diet.
2.Manage and control risk factors such as hypertension, diabetes, and high cholesterol.
3.Seek emergency medical assistance if experiencing symptoms like chest pain, shortness of breath, or discomfort.","A heart attack, or myocardial infarction, occurs when blood flow to a part of the heart muscle is blocked, leading to damage or death of the heart tissue and resulting in symptoms such as chest pain, shortness of breath, and fatigue."
Gastroenteritis(Grahani),Sarpagandha (Rauwolfia serpentina) churna: Helps in managing hypertension and reduces the risk of heart attacks by regulating blood pressure.,"Ayurvedic therapy for Gastroenteritis (Grahani) involves dietary adjustments focusing on easily digestible foods like rice gruel (congee), herbal formulations to soothe the digestive tract, and lifestyle modifications to reduce inflammation and restore gut health.","1.Practice thorough handwashing after using the toilet and before handling food to prevent the spread of gastroenteritis.
2.Stay hydrated by drinking plenty of fluids to replace lost fluids from vomiting and diarrhea.
3.Avoid preparing food for others while experiencing symptoms to prevent the spread of the infection.","Gastroenteritis is the inflammation of the stomach and intestines, often caused by viral or bacterial infections, leading to symptoms like diarrhea, vomiting, abdominal cramps, and fever."
Pneumonia(Shwasakasa),"Talisadi Churna: A classical formulation containing herbs like Talisa (Abies webbiana) and Vasa (Adhatoda vasica), which help relieve cough and congestion associated with pneumonia.","Ayurvedic therapy for Pneumonia (Shwasakasa) includes treatments like herbal decoctions, steam inhalation with medicated herbs, and external applications of herbal pastes or oils to the chest. Alongside, dietary adjustments and rest are crucial for recovery.","1.Get vaccinated against pneumonia, especially if you are in a high-risk group.
2.Practice good respiratory hygiene, including covering your mouth and nose when coughing or sneezing.
3.Seek prompt medical attention for respiratory symptoms, especially if you are in a high-risk category.","Pneumonia is an inflammatory lung infection that can be caused by bacteria, viruses, or fungi, resulting in symptoms such as cough, fever, and difficulty breathing."
Common Cold(Pratishyaya),Sitopaladi Churna: A blend of herbs like Pippali (Piper longum) and Vamshalochana (Bambusa arundinacea) that helps relieve symptoms of the common cold such as cough and congestion.,"Ayurvedic therapy for Common Cold (Pratishyaya) involves Nasya therapy, where herbal oils or medicated substances are administered through the nasal passages. Additionally, herbal decoctions, steam inhalation, and dietary modifications are recommended to boost immunity and relieve symptoms.","1.Practice good hand hygiene to minimize the risk of viral transmission.
2.Stay well-hydrated and get adequate rest to support the immune system.
3.Use tissues or elbows to cover your mouth and nose when coughing or sneezing to prevent the spread of the virus.","Common cold is a viral infection of the upper respiratory tract, characterized by symptoms like sneezing, runny nose, coughing, and sore throat"
Jaundice(Kamala),"Kutki (Picrorhiza kurroa) churna: Supports liver function and helps in reducing bilirubin levels, often used in jaundice treatment.",Ayurvedic therapy for Jaundice (Kamala) includes Panchakarma treatments like Virechana (therapeutic purgation) and Basti (medicated enema) to detoxify the body. Herbal decoctions and dietary adjustments to support liver function are also prescribed.,"1.Ensure a hygienic environment and practice good personal hygiene to prevent infections that may exacerbate jaundice.
2.Stay well-hydrated to support liver function and aid in the elimination of bilirubin
3.Follow a low-fat diet and avoid alcohol to reduce stress on the liver during recovery.","Jaundice is a medical condition characterized by yellowing of the skin and eyes, caused by an excess of bilirubin in the blood, often indicating liver dysfunction or other underlying health issues."
(vertigo) Paroymsal  Positional Vertigo(Bhrama),"Brahmi Ghrita: Medicated ghee containing Brahmi (Bacopa monnieri), used to calm the nervous system and alleviate symptoms of vertigo.","
Ayurvedic therapy for Paroxysmal Positional Vertigo (Bhrama) involves Nasya therapy, wherein medicated oils or herbal extracts are administered through the nasal passages. Alongside, lifestyle adjustments and specific yoga postures may be recommended to improve balance and alleviate symptoms","1.Avoid sudden head movements that can trigger vertigo episodes.
2.Perform vestibular rehabilitation exercises as recommended by a healthcare provider.
3.Use caution and support when changing positions, particularly when getting up from lying down.","Paroxysmal Positional Vertigo (BPPV) is a common inner ear disorder characterized by brief episodes of intense dizziness triggered by specific head movements, such as turning in bed or tilting the head."
Tuberculosis(Rajayakshma),"Rasakarpura: A traditional Ayurvedic medicine containing purified mercury, used to enhance immunity and support the body's defense against tuberculosis.","Ayurvedic therapy for Tuberculosis (Rajayakshma): Treatment involves herbal formulations like Pushkaramoola, Kantakari, and Vasa, along with dietary adjustments, rest, and stress management to boost immunity and support respiratory health.","1.Complete the full course of prescribed antibiotics to ensure effective treatment.
2.Practice good respiratory hygiene, including covering your mouth and nose when coughing or sneezing.
3.Follow infection control measures to prevent the spread of tuberculosis to others, including proper ventilation and isolation when necessary.","Tuberculosis (TB) is a bacterial infection primarily affecting the lungs, caused by Mycobacterium tuberculosis, and characterized by symptoms like persistent cough, weight loss, and fatigue."
Hypothyroidism(Galaganda),Varanadi Kashayam: A herbal decoction that helps balance thyroid hormones and improves overall thyroid function in cases of hypothyroidism.,"Ayurvedic therapy for Hypothyroidism (Galaganda): Herbs like Guggulu, Kanchanara, and Shilajit, along with dietary modifications emphasizing iodine-rich foods and stress reduction techniques, help balance thyroid function.","1.Take thyroid medication as prescribed by your healthcare provider.
2.Monitor and manage stress levels, as stress can impact thyroid function.
3.Maintain a balanced diet and regular exercise routine to support overall well-being.","Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormones, leading to symptoms such as fatigue, weight gain, and sensitivity to cold."
Bronchial Asthma(Tamaka Shwasa),"Sitopaladi Churna: This herbal powder mixture, containing ingredients like sugar, bamboo manna, cardamom, and cinnamon, can help in reducing inflammation, clearing congestion, and improving respiratory function","Ayurvedic therapy for Bronchial Asthma (Tamaka Shwasa): Herbal remedies like Sitopaladi Churna, Talisadi Churna, and Vasavaleha, along with lifestyle modifications, Pranayama, and dietary adjustments are effective treatments.","1.Identify and avoid asthma triggers such as allergens and irritants.
2.Adhere to prescribed medication and inhaler usage as directed by your healthcare provider.
3.Develop and follow an asthma action plan, including regular check-ups with a healthcare professional.","Bronchial asthma is a chronic respiratory condition characterized by inflammation of the airways, leading to recurrent episodes of wheezing, breathlessness, chest tightness, and coughing, often triggered by various factors."
Alcoholic hepatitis(Madatyaya Yakrit),"Bhumyamalaki (Phyllanthus niruri): Known for its hepatoprotective properties, it helps protect the liver from damage caused by alcohol consumption and supports its regeneration.","Ayurvedic therapy for alcoholic hepatitis (Madatyaya Yakrit) involves herbs like Kutki, Bhumi Amla, Punarnava, and lifestyle modifications including abstinence from alcohol and a balanced diet.","1.Limit alcohol consumption or abstain completely to prevent exacerbation of alcoholic hepatitis.
2.Seek medical advice for proper diagnosis, treatment, and monitoring of alcohol-related liver damage.
3.Adopt a healthy lifestyle, including a balanced diet and regular exercise, to support liver health and recovery.","Alcoholic hepatitis is liver inflammation caused by excessive alcohol consumption, characterized by symptoms such as jaundice, abdominal pain, and liver dysfunction."
